λ npm run train

> source-code-translation-lstm-antlr@1.0.0 train D:\kuliah\source-code-translation-lstm-antlr
> node dist/train.js

data =  71
iterations: 0, training error: 0.7375142888442775
iterations: 100, training error: 0.014416347932463753
iterations: 200, training error: 0.013840343759290242
iterations: 300, training error: 0.01403368104020529
iterations: 400, training error: 0.021041063840904504
iterations: 500, training error: 0.01326730567317478
iterations: 600, training error: 0.013491170801826874
iterations: 700, training error: 0.01326381278968746
iterations: 800, training error: 0.020568755941735222
iterations: 900, training error: 0.012958617400180412
iterations: 1000, training error: 0.013155434220295744
iterations: 1100, training error: 0.01297395885579085
iterations: 1200, training error: 0.012939316363258735
iterations: 1300, training error: 0.012810933089027619
iterations: 1400, training error: 0.012702115348632062
iterations: 1500, training error: 0.012709771840784761
iterations: 1600, training error: 0.012982433532165473
iterations: 1700, training error: 0.01285246626487865
iterations: 1800, training error: 0.012750968457473942
iterations: 1900, training error: 0.012599835453095894
iterations: 2000, training error: 0.012696929486520101
iterations: 2100, training error: 0.012873359490528046
iterations: 2200, training error: 0.01260683360920244
iterations: 2300, training error: 0.012731501062717662
iterations: 2400, training error: 0.01280494949577711
iterations: 2500, training error: 0.012886026179956264
iterations: 2600, training error: 0.012764993700454462
iterations: 2700, training error: 0.012835493598060374
iterations: 2800, training error: 0.022298936565167533
iterations: 2900, training error: 0.012866751585989097
iterations: 3000, training error: 0.012946978410588407
iterations: 3100, training error: 0.013554777682101286
iterations: 3200, training error: 0.013297764098284103
iterations: 3300, training error: 0.012632857019467664
iterations: 3400, training error: 0.012772561241240741
iterations: 3500, training error: 0.01261323415024536
iterations: 3600, training error: 0.012613020102360314
iterations: 3700, training error: 0.012550544451235324
iterations: 3800, training error: 0.013159778170575918
iterations: 3900, training error: 0.012497575497900624
iterations: 4000, training error: 0.012451780498543686
iterations: 4100, training error: 0.01372945137462745
iterations: 4200, training error: 0.1325411361757675
iterations: 4300, training error: 0.013627148352562124
iterations: 4400, training error: 0.012891299803372041
iterations: 4500, training error: 0.01258849002849673
iterations: 4600, training error: 0.01295261207401176
iterations: 4700, training error: 0.012554143435840562
iterations: 4800, training error: 0.021336903984336655
iterations: 4900, training error: 0.013180731097617391
iterations: 5000, training error: 1470.62404905601
iterations: 5100, training error: 0.18081100129706762
iterations: 5200, training error: 0.07598781528896559
iterations: 5300, training error: 0.013413262348886271
iterations: 5400, training error: 0.01363513931133986
iterations: 5500, training error: 0.012755098027764611
iterations: 5600, training error: 0.013080108636798616
iterations: 5700, training error: 0.01348380046200758
iterations: 5800, training error: 0.013228081367009694
iterations: 5900, training error: 0.012643348680086935
iterations: 6000, training error: 0.013815821799922825
iterations: 6100, training error: 0.012656157066330711
iterations: 6200, training error: 0.012511422484436383
iterations: 6300, training error: 0.014212201050794404
iterations: 6400, training error: 0.013244084581697622
iterations: 6500, training error: 0.013413738833766928
iterations: 6600, training error: 0.012643150452106861
iterations: 6700, training error: 0.01609938563963609
iterations: 6800, training error: 0.013450947648566287
iterations: 6900, training error: 0.013163209908473732
iterations: 7000, training error: 0.012679365745645144
iterations: 7100, training error: 0.012885005962712966
iterations: 7200, training error: 0.012584295648803881
iterations: 7300, training error: 0.012740846758505628
iterations: 7400, training error: 0.013203744143940082
iterations: 7500, training error: 0.012773758804567313
iterations: 7600, training error: 0.012673739368532926
iterations: 7700, training error: 0.012489062529104162
iterations: 7800, training error: 0.012596312012677136
iterations: 7900, training error: 0.017349142236910784
iterations: 8000, training error: 0.11758537317319376
iterations: 8100, training error: 0.012464927509889343
iterations: 8200, training error: 0.013023023295845699
iterations: 8300, training error: 0.012814112796090113
iterations: 8400, training error: 0.012450720561721402
iterations: 8500, training error: 0.013145469443066772
iterations: 8600, training error: 0.014339828539012708
iterations: 8700, training error: 0.02119197603026893
iterations: 8800, training error: 0.24617093837209555
iterations: 8900, training error: 0.01386685889236835
iterations: 9000, training error: 0.012926229069613243
iterations: 9100, training error: 0.013055923597238716
iterations: 9200, training error: 0.012682508747152006
iterations: 9300, training error: 0.01330091208445981
iterations: 9400, training error: 7.704273369258043
iterations: 9500, training error: 0.018147117151887916
iterations: 9600, training error: 0.013057756993678005
iterations: 9700, training error: 0.012593927772200371
iterations: 9800, training error: 0.013424388910040542
iterations: 9900, training error: 0.5948605915155853
iterations: 10000, training error: 0.01382047974209259
iterations: 10100, training error: 0.01291386088176823
iterations: 10200, training error: 0.017237504820929738
iterations: 10300, training error: 0.012828963628258147
iterations: 10400, training error: 0.012737345088416738
iterations: 10500, training error: 1599.8949165760139
iterations: 10600, training error: 0.012543799456331467
iterations: 10700, training error: 0.012541077869872035
iterations: 10800, training error: 0.012490282751757478
iterations: 10900, training error: 0.012500488753016624
iterations: 11000, training error: 0.01243665616219756
iterations: 11100, training error: 0.012512788910737498
iterations: 11200, training error: 0.012401772213735836
iterations: 11300, training error: 0.0125813654589055
iterations: 11400, training error: 0.012481044309061927
iterations: 11500, training error: 3880.5093580520265
iterations: 11600, training error: 0.7782209808359535
iterations: 11700, training error: 1.19585489214115
iterations: 11800, training error: 0.12941689368979467
iterations: 11900, training error: 0.014792012894226849
iterations: 12000, training error: 0.013001413131012263
iterations: 12100, training error: 0.01317241137503327
iterations: 12200, training error: 0.0215145342591788
iterations: 12300, training error: 0.012843205493829248
